URL;UR;Scheme;HTTP Status Code;HTTP Error Message;Content Type;Crawl Status;Crawl Depth;Crawl Source;URL Source;First Parent URL;No. Internal Linking URLs;Indexable;Indexable Status
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-arts-honours-in-translation-technology/introduction/index.html;65;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;9;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-business-administration-honours/introduction/index.html;28;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;4;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-business-administration-honours/programme-structure/index.html;20;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;3;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-business-administration-honours-in-applied-hotel-and-tourism-management/introduction/index.html;28;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;4;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-business-administration-honours-in-applied-hotel-and-tourism-management-part-time-/introduction/index.html;5;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/rita-tong-liu-school-of-business-and-hospitality-management/introduction/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-business-administration-honours-part-time-/introduction/index.html;28;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;4;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-business-administration-honours-part-time-/programme-structure/index.html;13;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;2;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-crime-and-security-science-honours-/introduction/index.html;35;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;5;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-education-honours-in-early-childhood-education/introduction/index.html;43;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;6;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-health-sciences-honours-part-time-top-up-programme/introduction/index.html;35;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;5;Yes;Indexable
